text,location,friends_count,followers_count,screen_name,retweet_count,favorite_count,label,description
is that you tome hanks    how about we keep america hanksless       ,,13006,31014,helen henning,763,4208,0,#ULTRA MAGA...#KAG...let's have some fun...saddle up...let's ride...
after the dreadful hurricane in florida  vp  kamala harris says that the rebuilding of the infrastructure will be decided by   giving resources based on equity   by directing funds to   communities of color   ,London,31163,33758,David Atherton,198,297,0,"Libertarian, free markets, free speech. ""Selfish smoker"" -Daily Mirror, ""Half arsed"" -Jeremy Clarkson. Former contributor to https://t.co/dVAJ8hOEus"
heartbreaking  iranian father who promised to live long enough to dance at his daughter s wedding ends up dancing at her funeral after she was killed by the iranian morality police for not covering her hair, Nature ,4441,9363,Shukri Hamk,9589,30927,0,-Survivor of #YazidiGenocide No.74 By #ISIS. -human rights activist ⚖ ☮. B.Ed 🎓 UoD.
my dad just sent me this video from naples florida hurricane ian ,,70,29,the worlds foremost authority,933,3681,0,i like to think i’m funny
omg so all funerals due on the  th have been cancelled  my heartfelt sympathy with all those bereft families involved  ,,4795,3928,Carolyn Brown,3381,26141,0,"Feminist, Cymraes and European! 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺🏴󠁧󠁢󠁳󠁣󠁴󠁿 #FBPE#FBPPR#FBEIE"
biden admits to voter fraud   joebiden brags about having the   most extensive voter fraud organization   in history watch ,,2423,2776281,Kayleigh McEnany,20227,46089,0,"Co-host @OutnumberedFNC. Fmr. White House Press Secretary. Author of ""For Such a Time as This"" OUT NOW! Order a copy below!"
troglodyte thinks escalation  talked about this last week on   hedgeyebreaking russian airlines ordered to stop selling tickets to russian men aged  to   ,"New York, NY",361,44542,Michael Taylor,13,92,0,"PM of PINK Shares for the Cure. Healthcare Hedgefund Manager for past 20 yrs. Scientist, Virologist, Humanitarian, Troglodyte w/a keyboard."
massive protest by russians in st petersburg against the war in ukraine  they are chanting   no to war   ,,4,21,theivall,1140,3462,0,
news  reps liz cheney and zoe lofgren have proposed a bill that would prevent donald trump from being reinstalled as president  rt if you support this idea ,,2523,500381,Really American,20414,58418,0,Grassroots political organization and media producing the most impactful political content on a daily basis. Join us.
in brazil  an invasion of crocodiles that have flooded one of the beaches with several hundred  even thousands  and the local population is panicking,"Los Angeles, CA",742632,898388,Ken Rutkowski,24194,168604,0,Founder of METAL International & Syndicated Radio Talk Show Host
border btw  russia    finland after  putin s partial  mobilization,xxx,1010,79111,C4H10FO2P,167,576,0,☠️
situation at finland s borders has not changed with the announcement of russian moilization  there are videos circulating on social media  at least some of which have already been filmed before and now taken out of context  there is incorrect information in circulation ,Finland,331,36684,Rajavartiolaitos,1880,5181,0,"Rajavartiolaitos - Gränsbevakningsväsendet - 
Finnish Border Guard"
gov  greg abbott and democratic challenger beto o  rourke are making a historic investment in spanish language outreach as roughly a fourth of texas   eligible voters speak spanish ,"Houston, TX",161,700464,Houston Chronicle,50,173,0,"Documenting life in #Houston, Texas and beyond."
the national institute of health and cdc now say ivermectin is a drug to be used for covid   rdv  mg iva on day   characteristics of antiviral agents that are approved or under evaluation for the treatment of covid ,Canada,2274,30947,Tom Quiggin,13,16,0,"See the new Freedom Convoy 2022 book ""Witness to Deceit- Trudeau's Info War on Freedom Convoy 2022""  Preface by Danny Bulford https://t.co/FyY7grwXMm"
at   defcon hacking conference and just learned how easy it is to physically gain admin access on a voting machine that is used in  states  requires no tools and takes under  minutes  i  m concerned for our upcoming elections ,"San Francisco, CA",7706,88928,Rachel Tobac,35978,51499,0,"Hacker | CEO @SocialProofSec security awareness/social engineering training, videos, talks | 3X @DEFCON🥈 | Chair @WISPorg | Technical Advisory Council @CISAgov"
breaking  d c  has banned unvaccinated students from attending schools in person  and does not have a contingency plan for virtual learning  according to city data  over   of african americans ages   are not vaccinated  this is awful ,"Florida, USA",122,523336,Dr. Simone Gold,5593,118681,0,Doctor • Lawyer • Warrior 🥼 Founder of America’s Frontline Doctors https://t.co/KmDE4qnpDE
breaking  california gov  gavin newsom considering legislation barring residents from moving to texas or florida   we can t allow our people to be taken in by promises of freedom and better economic opportunities  they need to stay here   a staffer told reporters ,"Austin, TX",1347,50791,The Prophet Jeffiziah,6154,23841,0,"Contributor @RedState, @LibertyNation, & @NewsweekOpinion Host of A Fresh Perspective podcast

BREAKING = Satire"
so in los angles they just disqualified almost   of ballot signatures but they expect you to believe that less than   of ballots were faulty in the  presidential election  give me a fricken break   ,,1694,8525714,Donald Trump Jr.,7524,24761,0,"Future leader Ministry of Truth, Father, Outdoorsman, Meme War General, founder: MxM News, Field Ethos Journal, Winning Team Publishing Pronouns:"
breaking in order to safeguard democracy  congress has voted to exempt itself and its members from upcoming irs audits,,75,21645,News That Matters,10822,17849,0,"NEWS THAT MATTERS

Like our news? Help support us:
https://t.co/cWGz359jhf"
new  donald is fundraising by giving us   nuclear codes    this is a fucking joke to him  ,"San Diego, CA",8662,371169,"Mueller, She Wrote",4577,13597,0,Tweets by @allisongill. https://t.co/FHIhn3KEsh https://t.co/QLUiUatUxk She/her. BLM ▶️ Follow our sister show: @dailybeanspod
joey  hey joey  look at all the people gathered at the post office  waiting to mail you a   get well soon   card  amazing  huh  oh  wait  my bad  that  s the crowd at the    rally last night in wisconsin ,,4988,2872,Obxcape,14,71,0,"Coastal South Carolina….Let’s TAKE our country BACK!…..if you’re NOT following back your followers, get busy! You should be at 100%!!!"
